Date,QQQ,TLT,VGT,XLK
2010-01-04,,,,
2010-01-05,,,,
2010-01-06,,,,
2010-01-07,,,,
2010-01-08,,,,
2010-01-11,,,,
2010-01-12,,,,
2010-01-13,,,,
2010-01-14,,,,
2010-01-15,,,,
2010-01-19,,,,
2010-01-20,,,,
2010-01-21,,,,
2010-01-22,,,,
2010-01-25,,,,
2010-01-26,,,,
2010-01-27,,,,
2010-01-28,,,,
2010-01-29,,,,
2010-02-01,,,,
2010-02-02,,,,
2010-02-03,,,,
2010-02-04,,,,
2010-02-05,,,,
2010-02-08,,,,
2010-02-09,,,,
2010-02-10,,,,
2010-02-11,,,,
2010-02-12,,,,
2010-02-16,,,,
2010-02-17,,,,
2010-02-18,,,,
2010-02-19,,,,
2010-02-22,,,,
2010-02-23,,,,
2010-02-24,,,,
2010-02-25,,,,
2010-02-26,,,,
2010-03-01,,,,
2010-03-02,,,,
2010-03-03,,,,
2010-03-04,,,,
2010-03-05,,,,
2010-03-08,,,,
2010-03-09,,,,
2010-03-10,,,,
2010-03-11,,,,
2010-03-12,,,,
2010-03-15,,,,
2010-03-16,,,,
2010-03-17,,,,
2010-03-18,,,,
2010-03-19,,,,
2010-03-22,,,,
2010-03-23,,,,
2010-03-24,,,,
2010-03-25,,,,
2010-03-26,,,,
2010-03-29,,,,
2010-03-30,,,,
2010-03-31,,,,
2010-04-01,,,,
2010-04-05,,,,
2010-04-06,,,,
2010-04-07,,,,
2010-04-08,,,,
2010-04-09,,,,
2010-04-12,,,,
2010-04-13,,,,
2010-04-14,,,,
2010-04-15,,,,
2010-04-16,,,,
2010-04-19,,,,
2010-04-20,,,,
2010-04-21,,,,
2010-04-22,,,,
2010-04-23,,,,
2010-04-26,,,,
2010-04-27,,,,
2010-04-28,,,,
2010-04-29,,,,
2010-04-30,,,,
2010-05-03,,,,
2010-05-04,,,,
2010-05-05,,,,
2010-05-06,,,,
2010-05-07,,,,
2010-05-10,,,,
2010-05-11,,,,
2010-05-12,,,,
2010-05-13,,,,
2010-05-14,,,,
2010-05-17,,,,
2010-05-18,,,,
2010-05-19,,,,
2010-05-20,,,,
2010-05-21,,,,
2010-05-24,,,,
2010-05-25,,,,
2010-05-26,,,,
2010-05-27,,,,
2010-05-28,,,,
2010-06-01,,,,
2010-06-02,,,,
2010-06-03,,,,
2010-06-04,,,,
2010-06-07,,,,
2010-06-08,,,,
2010-06-09,,,,
2010-06-10,,,,
2010-06-11,,,,
2010-06-14,,,,
2010-06-15,,,,
2010-06-16,,,,
2010-06-17,,,,
2010-06-18,,,,
2010-06-21,,,,
2010-06-22,,,,
2010-06-23,,,,
2010-06-24,,,,
2010-06-25,,,,
2010-06-28,,,,
2010-06-29,,,,
2010-06-30,,,,
2010-07-01,,,,
2010-07-02,,,,
2010-07-06,,,,
2010-07-07,,,,
2010-07-08,,,,
2010-07-09,,,,
2010-07-12,,,,
2010-07-13,,,,
2010-07-14,,,,
2010-07-15,,,,
2010-07-16,,,,
2010-07-19,,,,
2010-07-20,,,,
2010-07-21,,,,
2010-07-22,,,,
2010-07-23,,,,
2010-07-26,,,,
2010-07-27,,,,
2010-07-28,,,,
2010-07-29,,,,
2010-07-30,,,,
2010-08-02,,,,
2010-08-03,,,,
2010-08-04,,,,
2010-08-05,,,,
2010-08-06,,,,
2010-08-09,,,,
2010-08-10,,,,
2010-08-11,,,,
2010-08-12,,,,
2010-08-13,,,,
2010-08-16,,,,
2010-08-17,,,,
2010-08-18,,,,
2010-08-19,,,,
2010-08-20,,,,
2010-08-23,,,,
2010-08-24,,,,
2010-08-25,,,,
2010-08-26,,,,
2010-08-27,,,,
2010-08-30,,,,
2010-08-31,,,,
2010-09-01,,,,
2010-09-02,,,,
2010-09-03,,,,
2010-09-07,,,,
2010-09-08,,,,
2010-09-09,,,,
2010-09-10,,,,
2010-09-13,,,,
2010-09-14,,,,
2010-09-15,,,,
2010-09-16,,,,
2010-09-17,,,,
2010-09-20,,,,
2010-09-21,,,,
2010-09-22,,,,
2010-09-23,,,,
2010-09-24,,,,
2010-09-27,,,,
2010-09-28,,,,
2010-09-29,,,,
2010-09-30,,,,
2010-10-01,,,,
2010-10-04,,,,
2010-10-05,,,,
2010-10-06,,,,
2010-10-07,,,,
2010-10-08,,,,
2010-10-11,,,,
2010-10-12,,,,
2010-10-13,,,,
2010-10-14,,,,
2010-10-15,,,,
2010-10-18,40.540032901763915,62.315048141479494,46.7744345664978,18.073286333084106
2010-10-19,40.5607886505127,62.36281490325928,46.78180383682251,18.07650764465332
2010-10-20,40.58316602706909,62.40945701599121,46.79121049880982,18.080666961669923
2010-10-21,40.60719993591309,62.45598104476929,46.80261116027832,18.085958709716795
2010-10-22,40.63263719558716,62.50425880432129,46.81678607940674,18.091900024414063
2010-10-25,40.65751672744751,62.55361524581909,46.830310802459714,18.09752095222473
2010-10-26,40.68383653640747,62.59937982559204,46.845092639923095,18.10375061035156
2010-10-27,40.71338102340698,62.63741737365723,46.864599533081055,18.111276512145995
2010-10-28,40.740927619934084,62.67968402862549,46.88137548446655,18.1179132938385
2010-10-29,40.76777431488037,62.72102243423462,46.89702434539795,18.124470901489257
2010-11-01,40.79714580535889,62.75915950775146,46.91596765518189,18.132403469085695
2010-11-02,40.82575180053711,62.802436637878415,46.93404401779175,18.139739894866942
2010-11-03,40.85832473754883,62.83600305557251,46.95675874710083,18.14914337158203
2010-11-04,40.89561721801758,62.87076709747314,46.985975646972655,18.16102773666382
2010-11-05,40.93869632720947,62.90041137695312,47.02429586410523,18.175982856750487
2010-11-08,40.98142978668213,62.932841262817384,47.061662368774414,18.19029214859009
2010-11-09,41.02271816253662,62.95803192138672,47.09764165878296,18.204558067321777
2010-11-10,41.0636669921875,62.983809566497804,47.13318759918213,18.21817819595337
2010-11-11,41.10812931060791,63.00958198547363,47.170684051513675,18.23279278755188
2010-11-12,41.15208539962769,63.031095333099366,47.209524421691896,18.24747353553772
2010-11-15,41.193120040893554,63.0486923789978,47.24381313323975,18.260898513793947
2010-11-16,41.22868885040283,63.07312936782837,47.271816425323486,18.27167799949646
2010-11-17,41.26387092590332,63.09920831680298,47.29921272277832,18.282296285629272
2010-11-18,41.30821601867676,63.12200225830078,47.337706298828124,18.296972799301148
2010-11-19,41.351170253753665,63.1460994720459,47.37502941131592,18.311086463928223
2010-11-22,41.39740146636963,63.17116310119629,47.415170154571534,18.32613557815552
2010-11-23,41.4380369758606,63.200746116638186,47.449372177124026,18.338987131118774
2010-11-24,41.48366561889648,63.22738086700439,47.48860265731812,18.353714532852173
2010-11-26,41.52493242263794,63.259959602355956,47.524018363952635,18.36657279968262
2010-11-29,41.56563232421875,63.29408838272095,47.557223377227785,18.37902440071106
2010-11-30,41.601090965271,63.32935331344604,47.583926105499266,18.38920262336731
